FID,roof,road,watr,conc,Veg,dry,irr,H,W
316,0,0,0,0,0,1,0,4,30
317,0,0,0,0,0,1,0,4,30
318,0,0,0,0,0,1,0,4,30
319,0,0,0,0,0,1,0,4,30
320,0,0,0,0,0,1,0,4,30
321,0,0.847379693,0,0,0.066893424,0.070420761,0.015306122,4,30
322,0,0.121109861,0.341207349,0,0.122047244,0.126734158,0.288901387,4,30
323,0,0,0.301146384,0,0.289115646,0.269589317,0.140148652,4,30
324,0,0.044994376,0.264279465,0,0.139045119,0.46231721,0.08936383,4,30
325,0,0.40117158,0.228584026,0,0.124905518,0.170697909,0.074640967,4,30
326,0.065885614,0.210254472,0.243575208,0,0.119929453,0.214663643,0.14569161,4,28.02343159
327,0.440819898,0.284964379,0,0,0.133983252,0.119235096,0.020997375,4.408198975,16.77540307
328,0.471718317,0.265243134,0,0,0.13681028,0.097001764,0.029226505,4.71718317,15.84845049
329,0.422272613,0.273683547,0.018392542,0,0.131834215,0.11627614,0.037540942,4.222726127,17.33182162
330,0.126609174,0.41032371,0.008998875,0,0.129046369,0.225909261,0.099112611,4,26.20172478
331,0,0.970017637,0,0,0.01574704,0.014046359,0.000188964,4,30
332,0,0.488340281,0.121873372,0,0.022798332,0.340932777,0.026055237,4,30
333,0.152305367,0.103300579,0.208553792,0,0.122385991,0.29856387,0.114890401,4,25.430839
334,0.39021164,0.311035525,6.30E-05,0,0.166666667,0.121945074,0.010078105,4,18.29365079
335,0.322772153,0.258405199,0.00343707,0,0.163542057,0.208911386,0.042932133,4,20.3168354
336,0.088057445,0.244079113,0.002015621,0,0.131834215,0.397203326,0.13681028,4,27.35827664
337,0.047052154,0.161060721,0.010582011,0,0.11457546,0.488284203,0.178445452,4,28.58843537
338,0.185539308,0.57167854,0.000187477,0,0.088863892,0.147606549,0.006124234,4,24.43382077
339,0.472453871,0.425766629,0,0,0.072099284,0.015628078,0.014052137,4.724538709,15.82638387
340,0.17687883,0.491996999,0.004126547,0,0.125296986,0.175128173,0.026572465,4,24.69363511
341,0.202443941,0.23733938,0.049634669,0,0.261085916,0.136747292,0.112748803,4,23.92668178
342,0.129377677,0.2117032,0.042831948,0,0.335097002,0.12037037,0.160619803,4,26.11866969
343,0.330583677,0.168103987,0.030871141,0,0.126046744,0.288651419,0.055743032,4,20.08248969
344,0.353111615,0.130133535,0.02532124,0,0.066389519,0.332703452,0.09234064,4,19.40665155
345,0.071302595,0.013038549,0.227198287,0,0.319286974,0.258251449,0.110922147,4,27.86092215
346,0.047950014,0.056866049,0.067607414,0,0.2331508,0.358256108,0.236169615,4,28.56149958
347,0.030406227,0.162004378,0.050839212,0,0.430552177,0.216005838,0.110192167,4,29.08781318
348,0,0,0,0,0,1,0,4,30
349,0,0,0,0,0,1,0,4,30
350,0,0,0,0,0,1,0,4,30
351,0,0,0,0,0,1,0,4,30
352,0,0,0,0,0,1,0,4,30
353,0,0.91319835,0,0,0.007561555,0.075990501,0.003249594,4,30
354,0,0.153574307,0.118420237,0,0.151590303,0.189720379,0.386694773,4,30
355,0,0.000499938,0.383014623,0,0.305461817,0.152855893,0.158167729,4,30
356,0,0.493892988,0.044392089,0,0.090768182,0.32023064,0.050716101,4,30
357,0.040244969,0.050618673,0.368703912,0,0.175353081,0.273903262,0.091176103,4,28.79265092
358,0.346456693,0.24271966,0.010623672,0,0.113798275,0.171666042,0.114735658,4,19.60629921
