FID,roof,road,watr,conc,Veg,dry,irr,H,W
5547,0,0,0.023076923,0,0.086153847,0.890769231,0,0.046153846,29.86153846
5548,0,0,0.018461538,0,0.078461539,0.533846154,0.369230769,0.046153846,29.86153846
5549,0,0,0,0,0.092307692,0.816923077,0.090769231,0.230769231,29.30769231
5550,0,0,0.003076923,0,0.498461539,0.475384615,0.023076923,0.107692308,29.67692308
5551,0,0,0.00591716,0,0.931952663,0.048816568,0.013313609,0.295857988,29.11242604
5552,0.002450142,0,0,0.262165242,0.135384616,0.6,0,0.030769231,29.90769231
5553,0.067895215,0,0,0.665950938,0.095384616,0.170769231,0,0.723076923,27.83076923
5554,0.09811784,0,0,0.740343699,0.058461538,0.101538462,0.001538462,1.015384615,26.95384615
5555,0,0,0,0.7424,0.2304,0.0272,0,0,30
5556,0,0,0,0.592,0.2464,0.1616,0,0,30
5557,0,0,0,0.866153846,0.033846154,0.1,0,0,30
5558,0,0,0,0.592,0.1568,0.2512,0,0,30
5559,0,0,0,0.5136,0.1088,0.3776,0,0,30
5560,0,0,0,0.5472,0.176,0.2768,0,0,30
5561,0,0,0.0096,0.0288,0.08,0.8816,0,0,30
5562,0,0,0.070769231,0,0.346153846,0.583076923,0,0,30
5563,0,0,0.2272,0,0.272,0.5008,0,0,30
5564,0,0,0.4944,0,0.4384,0.0672,0,0,30
5565,0,0,0.3024,0,0.4512,0.2464,0,0,30
5566,0,0,0.461538462,0,0.36,0.178461538,0,0,30
5567,0,0,0.6336,0,0.2928,0.0736,0,0,30
5568,0.035350181,0,0.0256,0.291049819,0.2336,0.3872,0.0272,0.32448,28.56
5569,0.136976623,0,0,0.522223377,0.16,0.1488,0.032,0.74976,25.392
5570,0.106027723,0,0.0032,0.359572277,0.3616,0.1504,0.0192,0.79808,25.584
5571,0.081224397,0,0,0.249544834,0.378461538,0.212307692,0.078461538,0.670461538,26.16923077
5572,0.066293333,0,0,0.295306667,0.2368,0.392,0.0096,0.46528,27.36
5573,0.105282883,0,0,0.317117117,0.2208,0.3056,0.0512,0.62816,26.016
5574,0.127283096,0,0,0.567116904,0.1824,0.1232,0,0.6624,25.68
